dataset,method,type,test_f1_weighted,equalized_odds,privacy_risk
adult,Original,Original,0.8308412683036105,0.75,100.0
adult,knn3,Synthetic,0.7859751923974644,0.4822649572649573,82.07436666666666
adult,knn5,Synthetic,0.7630025898640165,0.5833333333333334,81.97933333333333
bankmarketing,knn1,Synthetic,0.8466315413270976,0.044485616256236,98.42153333333333
bankmarketing,knn3,Synthetic,0.8414805554589178,0.03182091798344617,98.34816666666667
bankmarketing,knn5,Synthetic,0.8438902455305758,0.0514388353185857,98.4002
german,Original,Original,0.6965367965367965,1.0,100.0
german,knn1,Synthetic,0.6881658035725454,1.0,31.823733333333333
german,knn3,Synthetic,0.6988876379774583,1.0,27.81226666666667
german,knn5,Synthetic,0.7272484230548844,1.0,26.556466666666665
heart,Original,Original,0.7679644048943269,0.1999999999999999,100.0
heart,knn1,Synthetic,0.7135543636793984,0.1777777777777777,0.0
heart,knn3,Synthetic,0.6863406171026344,0.18888888888888888,0.0
heart,knn5,Synthetic,0.7117526853842057,0.24444444444444438,0.0
